method,density_p90,density_paper,accuracy,n_actions,n_merges
BN-scale,0.879848,0.708899,0.8578,285,0
BN-scale,0.859612,0.692595,0.7423,333,0
BN-scale,0.839798,0.67663,0.6215,380,0
BN-scale,0.819983,0.660666,0.4773,427,0
BN-scale,0.799747,0.644361,0.3335,475,0
BN-scale,0.779933,0.628397,0.291,522,0
BN-scale,0.759696,0.612092,0.2215,570,0
BN-scale,0.739882,0.596128,0.1971,617,0
BN-scale,0.719646,0.579823,0.168,665,0
BN-scale,0.699831,0.563859,0.1498,712,0
BN-scale,0.679595,0.547554,0.1168,760,0
BN-scale,0.659781,0.53159,0.1207,807,0
BN-scale,0.639966,0.515625,0.1098,854,0
BN-scale,0.61973,0.499321,0.1122,902,0
BN-scale,0.599916,0.483356,0.1111,949,0
BN-scale,0.57968,0.467052,0.1031,997,0
BN-scale,0.559865,0.451087,0.1006,1044,0
BN-scale,0.539629,0.434783,0.1008,1092,0
BN-scale,0.519815,0.418818,0.1003,1139,0
BN-scale,0.499578,0.402514,0.1001,1187,0
BN-scale,0.479764,0.386549,0.1,1234,0
BN-scale,0.459949,0.370584,0.1,1281,0
BN-scale,0.439713,0.35428,0.1,1329,0
BN-scale,0.419899,0.338315,0.1,1376,0
BN-scale,0.399663,0.322011,0.1,1424,0
BN-scale,0.379848,0.306046,0.1,1471,0
BN-scale,0.359612,0.289742,0.1,1519,0
BN-scale,0.339798,0.273777,0.1,1566,0
BN-scale,0.319983,0.257812,0.1,1613,0
BN-scale,0.299747,0.241508,0.1,1661,0
